MUESTRA1;MUESTRA2;MUESTRA3;MUESTRA4;MUESTRA5;MUESTRA6;MUESTRA7
1;4;5;0,27;252,08;1,54;0,72
0;4;9;0,77;258,24;1,89;0,90
0;3;6;0,17;265,94;1,84;0,53
0;2;10;0,23;244,36;1,39;0,85
1;3;6;0,36;244,55;1,32;0,61
0;3;10;0,02;247,43;1,37;0,52
0;4;6;0,08;237,90;1,19;0,64
0;2;2;0,88;234,09;1,07;0,78
1;2;10;0,06;239,87;2,29;0,81
1;2;7;0,22;241,14;1,40;0,79
1;1;3;0,04;245,80;0,85;0,92
1;4;3;0,32;261,71;2,54;0,54
0;2;11;0,09;244,56;0,53;0,76
1;5;3;0,10;246,96;0,80;0,80
0;3;3;0,64;232,26;1,26;0,88
0;2;6;0,79;246,05;1,45;0,96
0;3;7;0,37;242,26;1,84;0,88
0;2;10;0,30;254,13;2,13;0,93
0;1;8;0,00;262,44;1,94;0,49
1;2;14;0,27;255,80;1,21;0,94
1;4;8;0,01;247,72;2,14;0,85
0;0;4;0,06;243,78;1,48;0,67
1;1;8;0,04;256,02;1,17;0,95
1;3;4;0,07;249,46;2,43;0,74
0;2;8;0,15;258,95;2,25;0,65
0;1;9;0,04;253,19;0,58;0,71
1;3;7;0,00;245,84;1,12;0,78
0;2;5;0,05;253,91;3,25;0,77
1;2;6;0,07;245,16;0,61;0,98
0;2;7;0,05;241,03;1,40;0,96
1;4;8;1,27;257,67;2,66;0,87
1;2;3;0,05;248,77;2,58;0,66
1;3;3;0,10;255,21;1,47;0,73
1;2;6;0,10;241,55;1,28;0,89
0;4;6;0,53;261,74;1,08;0,96
0;3;4;0,20;255,76;2,73;0,77
0;3;3;0,00;251,60;1,78;0,85
0;2;6;0,13;256,45;1,39;0,88
0;1;9;0,16;232,47;0,78;0,83
0;4;11;0,01;246,11;1,01;0,46
1;3;4;0,06;263,39;3,75;0,75
0;4;8;0,10;243,11;1,40;0,86
1;1;6;0,01;252,89;1,23;0,86
0;4;9;0,25;235,76;1,49;0,94
0;2;7;0,63;266,05;2,81;0,70
0;2;7;0,04;261,86;3,02;0,76
0;1;9;0,20;245,22;2,59;0,89
0;3;8;0,20;257,07;2,12;0,92
0;2;9;0,03;269,79;1,40;0,89
1;4;5;0,19;227,35;1,37;0,87
0;3;7;0,24;253,10;0,64;0,80
0;4;6;0,50;254,63;2,83;0,74
0;2;8;0,01;258,75;0,52;0,69
0;2;3;0,04;255,15;1,66;0,66
0;2;6;0,98;262,19;1,35;0,84
0;4;4;0,08;266,62;2,38;0,74
0;3;6;0,01;254,02;1,42;0,57
0;4;2;0,09;265,28;2,53;0,86
0;1;6;0,17;250,70;2,28;0,69
1;4;2;0,13;232,42;2,01;0,71
0;1;5;0,36;237,97;1,62;0,81
0;3;11;0,49;267,00;1,32;0,95
0;2;5;0,06;251,53;2,06;0,76
0;4;2;0,66;263,16;2,31;0,64
1;2;10;0,93;261,02;1,48;0,75
1;2;10;0,04;256,90;0,65;0,70
0;5;5;0,11;245,21;2,88;0,90
0;3;4;0,39;271,06;0,75;0,96
0;3;8;0,09;239,89;1,46;0,89
1;2;4;0,03;241,64;1,61;0,87
0;4;12;0,62;232,40;1,98;0,79
1;2;5;0,18;255,03;1,02;0,66
1;2;8;0,26;239,67;0,28;0,60
0;3;8;0,04;252,76;2,04;0,69
0;1;5;0,01;245,95;1,17;0,91
0;2;6;0,08;244,38;1,00;0,92
0;1;8;0,01;252,79;2,12;0,73
0;3;7;0,14;243,84;1,36;0,89
1;5;3;0,30;248,47;1,50;0,73
0;2;5;0,47;260,22;1,08;0,87
1;4;3;0,05;247,16;1,34;0,77
0;2;8;0,08;269,46;1,64;0,80
0;3;2;0,85;259,92;1,26;0,71
1;1;7;0,02;249,79;2,07;0,88
0;2;8;0,59;245,11;1,77;0,54
0;3;3;0,05;254,40;2,58;0,91
0;4;11;0,22;258,36;2,07;0,90
1;1;14;0,02;245,14;2,40;0,89
0;1;3;0,48;257,06;0,57;0,87
1;1;6;0,01;238,46;0,38;0,87
0;1;5;0,20;245,62;2,11;0,94
0;2;5;0,40;238,28;1,58;0,91
0;1;4;0,07;260,11;1,74;0,85
0;2;7;0,00;255,16;1,63;0,82
0;2;6;0,38;265,71;0,93;0,74
0;1;4;0,09;249,52;1,78;0,88
1;3;5;0,26;235,96;2,19;0,96
0;1;6;0,21;248,87;1,81;0,90
0;0;2;0,09;250,36;2,62;0,86
0;3;10;0,03;257,82;3,01;0,62
1;1;6;0,09;244,92;0,87;0,75
1;2;7;0,02;256,82;1,87;0,79
1;1;10;0,57;242,41;2,58;0,85
0;2;4;0,15;260,86;1,97;0,84
0;3;7;0,25;271,41;2,31;0,96
0;2;8;0,11;260,38;2,58;0,91
0;2;2;0,04;267,10;1,07;0,82
0;0;9;0,36;262,44;2,33;0,96
0;2;8;0,37;256,72;2,57;0,91
0;4;2;0,01;249,07;2,35;0,88
0;2;6;0,59;272,50;0,83;0,83
0;3;6;0,03;258,23;1,09;0,87
0;2;7;0,21;255,18;1,30;0,73
0;4;5;0,31;249,90;2,77;0,80
0;2;6;0,42;245,42;2,90;0,65
0;3;5;0,02;259,56;1,12;0,72
1;1;12;0,45;258,79;2,11;0,92
1;3;10;0,28;272,93;1,41;0,80
0;4;7;0,05;262,41;1,09;0,72
0;1;5;0,27;237,11;2,05;0,79
